x_mm,y_mm,z_mm,VM_cycle_max_Pa,VM_cycle_min_Pa,VM_stress_range_Pa,VM_stress_amplitude_Pa,VM_midrange_stress_Pa,VM_temporal_mean_Pa,t_VM_max_s
-21.609682720884937,177.84178399631455,-239.2833522556361,1523.6503794180203,7.432553489008816e-07,1523.6503786747649,761.8251893373824,761.8251900806379,252.46525548871443,0.05
-21.13202155330008,176.608153916,-238.56887728399997,1486.7823016254335,8.077035094404427e-07,1486.78230081773,743.391150408865,743.3911512165686,272.4950434874281,0.05
-21.22410305611573,178.14527707655492,-238.20609415284304,1522.8381137743602,8.831907469223857e-07,1522.8381128911694,761.4190564455847,761.4190573287755,251.74900442076725,0.05
-21.75598619573492,176.9006196658584,-240.0143550775405,1490.7429593374889,6.476500859049414e-07,1490.7429586898388,745.3714793449194,745.3714799925694,255.87744699611972,0.05
-20.74426481453768,181.90762238929457,-237.6265963407071,1816.3124698688775,1.3314574760595614e-06,1816.31246853742,908.15623426871,908.1562356001675,264.8015740452932,0.05
-20.770843410919767,180.8637167134351,-237.1505469768421,1762.1954823670412,1.3571916961309672e-06,1762.1954810098496,881.0977405049248,881.0977418621164,258.6220066338132,0.05
-20.29767425170012,182.000761816,-236.51353586099992,1771.9404724866815,1.4502010879604711e-06,1771.9404710364804,885.9702355182402,885.9702369684413,256.33135815024497,0.05
-20.31017800359561,182.8913173147529,-237.23992031190585,1877.710569453971,1.2889824993946405e-06,1877.7105681649884,938.8552840824942,938.8552853714767,277.9490565889209,0.05
-21.307852209427917,181.0713601339272,-238.63301423743107,1866.8593987513489,1.1985542053536137e-06,1866.8593975527947,933.4296987763973,933.4296999749515,272.82754276785766,0.05
-21.104002250452016,179.55060677776245,-237.73558707809576,1679.5547922566568,9.66243272510715e-07,1679.5547912904135,839.7773956452068,839.7773966114501,255.27952085963992,0.05
-21.661958404803656,179.28898005050252,-239.1781732875956,1667.0347400569233,8.208159304568868e-07,1667.0347392361073,833.5173696180536,833.5173704388696,259.9634526706127,0.05
-22.06972291632373,178.2755365973593,-240.3562271326072,1565.266074292943,6.900991094107872e-07,1565.2660736028438,782.6330368014219,782.633037491521,253.9075400783742,0.05
-22.3274931920822,177.2072000308211,-241.3460604903924,1434.245928149537,5.705493209105373e-07,1434.2459275789877,717.1229637894938,717.122964360043,245.64462619722224,0.05
-20.155092088005446,183.9454309401001,-237.93636387770297,1960.366242328991,1.1485413226507173e-06,1960.3662411804496,980.1831205902248,980.1831217387661,302.0405444703716,0.05
-19.757067781000057,185.16280016600004,-238.537725732,2133.098765311432,1.4766062081169692e-06,2133.098763834826,1066.549381917413,1066.549383394019,337.1833035875599,0.05
-20.58043976622162,183.84788914829625,-239.04428442455549,2036.177445336643,1.0817382171685803e-06,2036.1774442549047,1018.0887221274523,1018.0887232091906,313.58295989664094,0.05
-20.511343466272667,184.53325231944748,-239.8414143454662,2163.090434830788,1.0981092302040974e-06,2163.090433732679,1081.5452168663394,1081.5452179644487,342.29604823656894,0.05
-20.885652405906686,182.63488828893293,-238.56707706513657,1936.1222941875544,1.204921017749536e-06,1936.1222929826333,968.0611464913167,968.0611476962378,284.44578428456055,0.05
-21.55446162318146,182.03218181140096,-239.8853441502285,1954.8053185179065,9.924662041410166e-07,1954.8053175254402,977.4026587627201,977.4026597551864,289.96956209159947,0.05
-21.145696554149765,183.29394397050024,-239.9862018672321,2026.290335937901,1.0342560863344803e-06,2026.290334903645,1013.1451674518225,1013.1451684860785,311.31493501698577,0.05
-21.937202219569475,180.6604530355423,-240.133495131136,1884.166573217138,7.74471701849667e-07,1884.1665724426662,942.0832862213331,942.0832869958049,279.68014787598037,0.05
-22.26154728641355,179.46920695052594,-240.7565722215684,1740.238768995344,7.662136988431289e-07,1740.2387682291303,870.1193841145652,870.1193848807787,270.28047746535117,0.05
-22.413901211114933,180.4427800181964,-241.3522000654086,1893.428802278154,8.113262830484514e-07,1893.4288014668277,946.7144007334139,946.7144015447402,286.2029214492041,0.05
-23.3688677615354,178.76005697972684,-243.7741110580844,1302.7416927199945,5.40016492243358e-07,1302.741692179978,651.370846089989,651.3708466300055,239.79881133192922,0.05
-23.24907332324713,177.8664116637359,-243.5728747607424,1090.425015914651,5.21802036308352e-07,1090.425015392849,545.2125076964245,545.2125082182266,216.29896105643897,0.05
-22.98682818616664,178.58666116261745,-242.73901735617056,1508.4444579699218,6.067502458182664e-07,1508.4444573631715,754.2222286815858,754.222229288336,254.21592862982976,0.05
-22.824825829605206,177.53245286430558,-242.5299739234703,1320.399024860829,5.458875952194654e-07,1320.3990243149415,660.1995121574707,660.1995127033583,234.9011172077328,0.05
-22.58412637911783,178.39888169526452,-241.68454530959596,1568.8183430984902,6.272718608617459e-07,1568.8183424712183,784.4091712356092,784.4091718628811,256.57739698987814,0.05
-22.74215771849702,179.57196926122333,-242.06230647230225,1748.0832530012976,6.80727648506807e-07,1748.08325232057,874.041626160285,874.0416268410127,276.37823987552866,0.05
-21.19318273960406,183.96826417691736,-241.03057038967904,2214.1641701093554,9.650862177629551e-07,2214.164169144269,1107.0820845721346,1107.0820855372208,346.0952773988334,0.05
-22.11302416561033,181.5550893446648,-241.0887110208712,1992.7476562422944,8.160831740046191e-07,1992.7476554262112,996.3738277131056,996.3738285291888,297.77664605998905,0.05
-21.714098277937293,182.75845290565292,-241.01807085329744,2037.625166201374,9.222903801122348e-07,2037.6251652790836,1018.8125826395418,1018.8125835618322,311.5172386476645,0.05
-22.71193296552345,180.5273746199306,-242.21539163065,1864.2158095785385,7.514229218686907e-07,1864.2158088271156,932.1079044135578,932.1079051649807,291.5028438092302,0.05
