t_s,spatial_mean_VM_Pa,spatial_median_VM_Pa,spatial_p95_VM_Pa,spatial_max_VM_Pa
0.0,8.524049702507135e-06,2.845658116583047e-07,3.261581315438269e-05,0.00023779554243783896
0.05,2298.618832038794,2036.858314512152,4608.937683572044,8062.875624234263
0.1,1118.3410708545864,1027.371708481015,2219.49744075268,5081.788510526655
0.15,2206.528879594234,2011.4096425540934,4354.069897775736,7769.325045244114
0.2,1419.5821318396072,1308.1742435039505,2866.6049756790067,6377.983045969659
0.25,694.6161690231122,544.1833027370437,1658.7462640649615,3437.526780138
0.3,901.6023070687207,810.531863989755,1779.761838399408,3502.504111426877
0.35,692.8368935917428,623.0989760183893,1513.5955152682802,2308.9051352790184
0.4,1269.4407444945143,1121.594625165459,2575.7516517082954,4023.681943482306
0.45,187.28598115246976,155.56141502776518,407.99957331584056,1055.2491102882434
0.5,283.9878455832676,261.2489114256403,542.298211464976,1236.079690282023
0.55,105.52670628904983,94.55792786339464,211.58087895756537,455.9483323218064
0.6,63.641253357453245,54.27892160894599,133.28930298559303,252.95955234435175
0.65,43.30391987885086,36.95861357703697,92.52773029747026,172.322493844
0.7,31.183197756059645,29.502527111067486,59.48363305411727,93.51011949604072
0.75,26.754399757912154,25.879191447067775,52.27096331774507,106.82941941493726
0.8,23.63635144964807,22.386309492858288,46.826105212945535,118.85357574130389
0.85,22.510872017284722,19.59424549471511,45.27559015267432,125.03382858816462
0.9,23.969078831569213,20.786223327126798,50.60107143570109,142.93916571555178
0.95,28.340219178012237,25.217965604760153,59.886721517053104,164.45174720373234
1.0,35.402747758925514,31.616880498020663,72.01088799764034,150.56705853087274
