t_s,spatial_mean_VM_Pa,spatial_median_VM_Pa,spatial_p95_VM_Pa,spatial_p99_VM_Pa,spatial_max_VM_Pa
0.0,1.6901699982034703e-05,1.6397631570775284e-05,3.537684383460326e-05,7.951269273576562e-05,0.00014497423625370155
0.05,2435.077541308463,2179.603725584967,4773.552637946554,7142.7330339952205,12147.202240995195
0.1,2315.4593556924756,2167.543133575017,4882.157461396164,5880.129468721786,7507.6294123924945
0.15,2545.319003711381,2322.037476895849,5450.413597571785,6585.907741462691,8438.126970795034
0.2,948.1866169291715,840.7877634752332,2029.9335539989438,2579.6563827227446,3215.866189786634
0.25,1566.6830228139165,1497.3338885602038,3197.3765472645855,4131.744333963251,4912.346143429897
0.3,1822.2804305529355,1709.3929351716931,3826.0645047364974,4797.440069539701,6127.614534170932
0.35,1193.0584467026422,1116.0496132334226,2417.9890491736815,2987.9129547404,3814.359460173424
0.4,1316.5790444852394,1208.600252863714,2454.9957818933394,3554.7100158041544,6038.146732725128
0.45,249.7660437531468,215.46827194021213,545.794091090979,743.4819637134651,1034.898596331172
0.5,369.8551579225252,355.42672035827815,757.5803161680923,1001.5061050115689,1174.8240684017594
0.55,94.89796256888137,87.21101607671919,203.92220066501756,278.3789192287756,345.31733457765785
0.6,46.5357383517431,37.33960928078805,116.44867019184586,157.27027270185255,179.1057341371013
0.65,43.5120148921176,34.65920307734887,106.32325175359777,150.8614438473238,182.92934307555024
0.7,42.15860221870986,34.514140104918944,100.44364117924698,138.62177734398915,183.3958609014365
0.75,40.69808025472879,34.22552668573122,93.20021506688893,124.95170871319591,171.1632433831887
0.8,37.71134259572901,32.19287843550911,82.76876799690011,109.9579533778018,151.3993154894588
0.85,31.967225242534838,27.895545463143907,68.6060560568981,89.7376722350688,123.24771149878624
0.9,23.4326775500446,21.174436906552213,49.2601708803257,63.428765504295626,85.72201540967316
0.95,16.22187983961156,15.45080138598794,29.19368323503618,34.724028235118126,45.4554759851878
1.0,13.726449960254833,13.308719875148183,24.325417294017534,32.60922243495331,53.33273581264743
