t_s,spatial_mean_VM_Pa,spatial_median_VM_Pa,spatial_p95_VM_Pa,spatial_p99_VM_Pa,spatial_max_VM_Pa
0.0,5.239055964264043e-06,2.825469126372554e-06,2.079827386880872e-05,4.7951787434914e-05,7.951216893174941e-05
0.05,2258.9613012866785,1943.254340693616,4637.331214143547,6467.872868856967,8673.980973312002
0.1,1792.8060437242366,1574.872972401105,3934.811977090993,4802.399108698916,6149.127124390171
0.15,2011.398272189964,1761.864357471918,4294.866032756205,4997.533882444854,6786.826573301866
0.2,979.0873415300487,822.9922165021367,2108.163256508484,3011.441780677506,4376.855151246642
0.25,1164.1333379365421,962.5721962532912,2583.598318345028,3216.3055094483466,3961.9871313369854
0.3,1399.0680159873336,1258.059480103928,2931.366669042952,3472.3793534151314,4146.653359069032
0.35,969.0021661869881,893.3447407330665,1937.7160925166968,2336.308031522441,2963.3782305170644
0.4,1200.2105427112763,1047.1084948653254,2417.8866587318053,3220.200138873721,4375.962079887804
0.45,202.88444906358518,190.71474432282977,391.26488920531654,581.4048882683899,758.003948323437
0.5,270.27007407056254,237.29116778566507,608.5699384158689,793.5665087505788,1140.9655943491352
0.55,112.21934805564285,106.58209003887052,209.7551819363325,298.46796947672635,458.9234927355028
0.6,71.52544827718852,69.5835889067291,124.45732944060404,145.08169005044533,167.9211493621535
0.65,51.11741929454791,47.64494237948541,92.60727981289385,107.5901042154788,128.98382018077686
0.7,37.07346678805892,34.38255783397482,64.90781143764077,77.67890856973045,110.77286280339132
0.75,28.204595360988137,26.093000074415084,51.17943844345787,69.51302197463096,105.1769096818534
0.8,23.540212327538857,20.49760736962317,47.951150850277045,72.64454533502142,92.48491334468665
0.85,21.229725434177077,18.014822209981272,46.538347451765176,70.28379596469864,88.84171115279555
0.9,19.877794015924657,16.97876780596007,44.18687968167665,63.24742455894993,86.2123609493249
0.95,19.43867387470787,16.85140295322258,42.151070232325885,57.89675386635276,82.12792620616396
1.0,23.53284002861486,20.05388375373656,51.53822650564296,67.48287397064945,92.13478594250608
