% Model,Patient_4_Carreau_Main_Final.mph
% Version,COMSOL 6.4.0.429
% Date,"Aug 22 2026, 00:12"
% Dimension,3
% Nodes,4055
% Expressions,63
% Description,", , "
% Length unit,mm
% x,y,z,fsi1.F_Atx (N/m^2) @ t=0,fsi1.F_Aty (N/m^2) @ t=0,fsi1.F_Atz @ t=0,fsi1.F_Atx (N/m^2) @ t=0.05,fsi1.F_Aty (N/m^2) @ t=0.05,fsi1.F_Atz @ t=0.05,fsi1.F_Atx (N/m^2) @ t=0.1,fsi1.F_Aty (N/m^2) @ t=0.1,fsi1.F_Atz @ t=0.1,fsi1.F_Atx (N/m^2) @ t=0.15,fsi1.F_Aty (N/m^2) @ t=0.15,fsi1.F_Atz @ t=0.15,fsi1.F_Atx (N/m^2) @ t=0.2,fsi1.F_Aty (N/m^2) @ t=0.2,fsi1.F_Atz @ t=0.2,fsi1.F_Atx (N/m^2) @ t=0.25,fsi1.F_Aty (N/m^2) @ t=0.25,fsi1.F_Atz @ t=0.25,fsi1.F_Atx (N/m^2) @ t=0.3,fsi1.F_Aty (N/m^2) @ t=0.3,fsi1.F_Atz @ t=0.3,fsi1.F_Atx (N/m^2) @ t=0.35,fsi1.F_Aty (N/m^2) @ t=0.35,fsi1.F_Atz @ t=0.35,fsi1.F_Atx (N/m^2) @ t=0.4,fsi1.F_Aty (N/m^2) @ t=0.4,fsi1.F_Atz @ t=0.4,fsi1.F_Atx (N/m^2) @ t=0.45,fsi1.F_Aty (N/m^2) @ t=0.45,fsi1.F_Atz @ t=0.45,fsi1.F_Atx (N/m^2) @ t=0.5,fsi1.F_Aty (N/m^2) @ t=0.5,fsi1.F_Atz @ t=0.5,fsi1.F_Atx (N/m^2) @ t=0.55,fsi1.F_Aty (N/m^2) @ t=0.55,fsi1.F_Atz @ t=0.55,fsi1.F_Atx (N/m^2) @ t=0.6,fsi1.F_Aty (N/m^2) @ t=0.6,fsi1.F_Atz @ t=0.6,fsi1.F_Atx (N/m^2) @ t=0.65,fsi1.F_Aty (N/m^2) @ t=0.65,fsi1.F_Atz @ t=0.65,fsi1.F_Atx (N/m^2) @ t=0.7,fsi1.F_Aty (N/m^2) @ t=0.7,fsi1.F_Atz @ t=0.7,fsi1.F_Atx (N/m^2) @ t=0.75,fsi1.F_Aty (N/m^2) @ t=0.75,fsi1.F_Atz @ t=0.75,fsi1.F_Atx (N/m^2) @ t=0.8,fsi1.F_Aty (N/m^2) @ t=0.8,fsi1.F_Atz @ t=0.8,fsi1.F_Atx (N/m^2) @ t=0.85,fsi1.F_Aty (N/m^2) @ t=0.85,fsi1.F_Atz @ t=0.85,fsi1.F_Atx (N/m^2) @ t=0.9,fsi1.F_Aty (N/m^2) @ t=0.9,fsi1.F_Atz @ t=0.9,fsi1.F_Atx (N/m^2) @ t=0.95,fsi1.F_Aty (N/m^2) @ t=0.95,fsi1.F_Atz @ t=0.95,fsi1.F_Atx (N/m^2) @ t=1,fsi1.F_Aty (N/m^2) @ t=1,fsi1.F_Atz @ t=1
-21.609682720884937,177.84178399631455,-239.2833522556361,-2.0628649567443798E-10,8.766476704618935E-12,-5.257762693402839E-10,0.2046824093741179,0.16606885444027314,0.5712998158576397,-0.30513154398514003,-0.1814149740709327,-0.83490860531093,-0.7319885259518848,-0.5057577154242715,-2.0236698720592177,-0.8713757602643746,-0.754068754957893,-2.4515814936878675,-0.5584660759381059,-0.5216069242780408,-1.5807692669859634,0.0050493863856129195,-0.4109783002401771,-0.10732999005704738,0.3231849682207205,-0.35592621450205386,0.7223477031661723,0.39038548125320177,-0.3996159802624547,0.8809634556290845,0.20067632117274742,-0.4324209135285866,0.38672715512637623,0.059268065529901645,-0.34051708945932685,0.05187902591637443,0.03134620637769139,-0.2197884393037282,0.015829390771613737,0.04424104349540384,-0.09507402104803298,0.08539718402596398,0.0493628516525232,0.022218678877404023,0.1328794816477214,0.04147941859714256,0.06625890885409144,0.12558400220361693,0.0316922646303512,0.04000085316783164,0.09282453178979864,0.024472344779360174,-0.011241423382935394,0.059334642100915616,0.01522472199651742,-0.052586012942641334,0.02354004577227107,0.004224851374590943,-0.08154809902132956,-0.013115582948471306,-0.007849538168213011,-0.1059485035244564,-0.05118009203224414,-0.026679795650175232,-0.11103415949045488,-0.10086302285905477
-21.13202155330008,176.608153916,-238.56887728399994,-2.088232743027559E-10,3.168114943630382E-12,-5.350187175012154E-10,0.20813148921443972,0.16672106711959803,0.6158471010911606,-0.3004374644591132,-0.18096185434729486,-0.8622306073519754,-0.7264450886198343,-0.4766571231194242,-2.1043363581886343,-0.8932651819321842,-0.6290896225548261,-2.6067135261287104,-0.5761139416926641,-0.44847358431986456,-1.7004646983909038,0.04522702563950328,-0.4323767735989916,-0.0974653245936323,0.3786546884149326,-0.4389928912600842,0.7551330674542749,0.4444620637146893,-0.4544632812499247,0.9160482177377415,0.25555919343675243,-0.47692517292737663,0.42051083750599627,0.09897596943942652,-0.37906752913512315,0.06675778704344541,0.0550309024221441,-0.24766491014376565,0.018890015735321564,0.055340438251879044,-0.11639687001891923,0.08463596988522191,0.05011703328722774,0.016806070671729036,0.13711119517907452,0.03315439567323747,0.08610252010410879,0.12778845876259357,0.022793921223851123,0.0733476096797313,0.0948369477953762,0.0220383663280446,0.019632132844286266,0.0663246732784871,0.018829121643934316,-0.04260934748564101,0.027279518162279526,0.007466380269486784,-0.07574503729876578,-0.018323670429713872,-0.006005642278747296,-0.09920605708258894,-0.06455338329048599,-0.02635484446370458,-0.09957853660127111,-0.11701233309250166
-21.22410305611573,178.14527707655492,-238.20609415284306,-2.1123996471026739E-10,2.171814624650629E-11,-5.452991063751441E-10,0.21429479204774773,0.14087982001313573,0.5909154935597888,-0.3122481289925491,-0.16360949515132503,-0.8537560468695373,-0.7413659100438762,-0.4371699692923066,-2.0389117601260702,-0.8719498266337163,-0.6188156932166163,-2.421108091344544,-0.5482653234819116,-0.4340466739730637,-1.5312723647324933,0.03122008012754544,-0.3997888170934813,-0.014635259307656709,0.33756504147078914,-0.3731271292743917,0.7891778558672714,0.39736077844357237,-0.4044289228255807,0.9368808867761841,0.2110230906957963,-0.42260967692497636,0.4480715441479803,0.06821212710519031,-0.3300027947684337,0.09842824414511793,0.0399166599945997,-0.20531970930195664,0.05469565569759591,0.05436640295999511,-0.07068626368690832,0.12470020157045979,0.05753592455552579,0.03315392879792317,0.1578942748699086,0.04756475335631714,0.05562307154029968,0.1372729432820445,0.037705409453331305,0.02180743773174397,0.10345177420090086,0.02982613172956158,-0.02256452334219394,0.07226359849511294,0.017458065651606614,-0.06139060092833024,0.03068462961993738,-2.2169275474788938E-4,-0.08752358274095164,-0.021682150213618672,-0.01818518659639337,-0.10333879562223797,-0.0722857646661438,-0.03945429666142497,-0.0922789978276048,-0.1250208448493092
-21.75598619573492,176.9006196658584,-240.0143550775405,-1.9083001353763044E-10,-6.650952484609643E-12,-4.888706253955217E-10,0.1979203718978179,0.1916474366619815,0.5875712574905023,-0.29110081650756925,-0.19550129119276982,-0.8284589453526622,-0.7185145409625792,-0.543886786366447,-2.07230354171929,-0.8889518272225357,-0.8033715757587796,-2.6200298645403226,-0.5862771612264732,-0.5611241037948588,-1.7401951430184488,-0.01927422130749168,-0.43631492236266395,-0.24320098501918883,0.3203705877095775,-0.40151831980383657,0.6357012044258975,0.4092214226284175,-0.446028085250514,0.8413118549893627,0.21788036897716268,-0.4850824843622547,0.33796442329440984,0.07073034197119214,-0.38584107589520417,0.00795373071852934,0.0329847387607084,-0.2564219347720151,-0.030360067375353367,0.03693987359371325,-0.13720193871195122,0.032861663725421486,0.03925872187849738,-0.010683756566982951,0.09516269674720967,0.028334427915019444,0.06789714566699617,0.10238743053367894,0.018965076272959784,0.06258334066550761,0.07615054460284304,0.016168147695588202,0.006518576889970917,0.04403282688298018,0.009803742905997873,-0.046718798820573115,0.0041033671161064406,0.00609355290576243,-0.07618628307408364,-0.01847951635122744,5.878486210644657E-4,-0.10314139437711646,-0.04451844743221172,-0.013075748625600436,-0.11995140661175063,-0.08677944474223091
-20.74426481453768,181.90762238929457,-237.6265963407071,-1.8935547643481853E-10,1.1535706896216283E-10,-5.807048938638034E-10,0.2387880781739682,0.1330090044407342,0.5468215405330895,-0.3491973217553152,-0.15174507550741545,-0.8308339494625319,-0.8141042359351459,-0.4323223900019489,-1.8849676221930074,-0.9774678266860413,-0.705083785357423,-2.13761736335438,-0.5885191445574203,-0.509533418204819,-1.2290674315189536,-0.015896749310665825,-0.33835252347862993,0.18181139331786297,0.23190745070094038,-0.3129838899665991,0.8248558881208489,0.266771104634978,-0.2769054861564701,0.8933514899673994,0.10093121047100766,-0.29403356304213446,0.46390781580318363,-0.004804626758613928,-0.23108191583866944,0.1405473973356318,0.010670880182239006,-0.12189557711169904,0.10933016967157035,0.05659480629504343,-0.018690375856418494,0.16318766328594939,0.05364294910519489,-0.010515425157823555,0.1498737038401965,0.03284991858776174,-0.043151406795273975,0.11613716784626679,0.020273568929835162,-0.060985072536396734,0.09446555803940221,0.0016347789645679068,-0.07946904619120425,0.057055795108318666,-0.023538535088829783,-0.09448793720423163,-6.192289691004937E-5,-0.04541517539442554,-0.10066527919115827,-0.05426242529348731,-0.06321488996413042,-0.09805353972045396,-0.10342305284937732,-0.07233377057295151,-0.08321706345040826,-0.13755094305181023
-20.770843410919767,180.8637167134351,-237.15054697684212,-2.014874555998322E-10,4.9212712833427454E-11,-5.43191281285095E-10,0.23330931503409147,0.11805405088264169,0.5614498518940939,-0.3435366018825003,-0.13444358143036372,-0.8446680609261534,-0.7921317029447591,-0.36679307961141777,-1.9260496280185964,-0.9168775721320029,-0.5736806348567774,-2.1702339834973223,-0.5444509114629373,-0.4248371604115874,-1.2548363845101853,0.021663385655124046,-0.3620706154211584,0.19465722517036088,0.2872595556773649,-0.33926283639745697,0.8772615959561926,0.3157664615541596,-0.3171812921100153,0.9425709490583447,0.14364826376185805,-0.3219061587668151,0.497100866862138,0.025303908676713505,-0.2429748295163531,0.15879716214978115,0.02596440070322431,-0.1274572940658308,0.11636891036749658,0.0623051804600547,-0.013686058313155426,0.16753112493478503,0.06292128072914878,0.011872875512833165,0.15932334458749242,0.046138413460283946,-0.019783829201115058,0.12770663207647256,0.033601676002249205,-0.04354704626806299,0.10414744002647262,0.016907495484049715,-0.06715299158593917,0.06966923938735053,-0.008714496752335016,-0.09003453315897143,0.011650726007272594,-0.03325413591373886,-0.09643185110603562,-0.04983758689177007,-0.0535590145431139,-0.08959966096140602,-0.10533956128140999,-0.06450682941535142,-0.07105157188971345,-0.14092792966789874
-20.297674251700116,182.00076181600002,-236.51353586099992,-1.8649565603835918E-10,1.189704408376441E-10,-5.694776714466369E-10,0.24793216834765985,0.1243333612452524,0.5695036608073861,-0.3625518959095923,-0.14402587434238687,-0.8609189548403773,-0.8447911803641546,-0.4216479849019266,-1.9491669620746495,-1.0076634669547293,-0.6536469777742249,-2.2227438474789496,-0.6031049541810213,-0.49018783886559625,-1.263001273277662,-0.0014766770787909185,-0.37051284623704506,0.24114728961541662,0.2535757528069163,-0.32767862792720903,0.8842501317231798,0.2808883702579858,-0.28050029650705977,0.9245183698794275,0.11581389627794803,-0.2918015169790417,0.4982494044805432,0.006975196475808687,-0.2229660634044648,0.1660761670372811,0.021366899030285606,-0.11003261047074021,0.1291812899194367,0.05913122142406738,-0.01876558176709281,0.16816891473471596,0.04910138183595495,-0.02791696138757202,0.14778883388070527,0.034744880368879294,-0.05319196931206951,0.12675370022067875,0.025124820791969444,-0.06290109826212284,0.1078595780611931,0.002108241327803901,-0.08021688728675375,0.05867650667840262,-0.027562469952516166,-0.0881123859335539,-0.014283793139300236,-0.05208422182968201,-0.08629361466067342,-0.08010211387556886,-0.0680076354549981,-0.07623531788748972,-0.1287048558637074,-0.07316337042731834,-0.06645638212821804,-0.14875124843581877
-20.310178003595606,182.89131731475294,-237.23992031190585,-1.619873439408188E-10,1.3814068949612425E-10,-5.623044359301156E-10,0.25098341547820835,0.1397734396055398,0.5528351453001321,-0.35976190096051397,-0.15523808690312926,-0.8355364890197581,-0.8648040405299511,-0.4550924126067383,-1.9354590749565161,-1.0579747313885854,-0.7279876966397506,-2.212661711231839,-0.6503540462072083,-0.5452529952604939,-1.2713860473961707,-0.06382560726617399,-0.3993762128481668,0.18323461341804065,0.19505379651910815,-0.3205169246953041,0.8126221406655523,0.24296770234250004,-0.24794459209628883,0.8770370130946766,0.08305576011955473,-0.26433144635037176,0.46027699998650834,-0.016512282268182334,-0.21288058996845072,0.14525464238326818,0.008521876893923152,-0.10634989566989542,0.11790980889535348,0.052427604397388805,-0.020976429527957585,0.16045674199283236,0.037646873440773644,-0.03732039516612386,0.13506224095689073,0.021969057969084882,-0.05848840578202983,0.11158688935005356,0.014804949730646532,-0.06442308127730587,0.09752168228952099,-0.007407427818365059,-0.08375677155964772,0.05468228826004937,-0.03466777814028108,-0.09761464092435733,-0.006703431974406521,-0.05816845793891219,-0.10447834484219695,-0.06414831254503808,-0.0749058689260936,-0.10038333753323417,-0.11306268636909382,-0.08118057774781277,-0.08905604701170343,-0.14012532504162534
-21.307852209427914,181.07136013392721,-238.63301423743107,-1.8765219089157464E-10,7.773078363339474E-11,-5.319071158225679E-10,0.23390086520760583,0.13873387890767397,0.5585669534090475,-0.34078468972101256,-0.1545552876766662,-0.8377183646736494,-0.8113939306099363,-0.41437069950635,-1.9738834317541631,-0.9746142701104498,-0.6842628123222888,-2.2858122062234463,-0.6000127513083738,-0.4945246739054931,-1.372884294019369,-0.02578141142414963,-0.34799050033760126,0.08649754776591845,0.2481207315427531,-0.3096734737367907,0.7964169567054987,0.29521813896547705,-0.29735053258236366,0.9154400980788705,0.1174693175834258,-0.32159904599491806,0.4550027502097107,6.568027727023663E-4,-0.25581870687556807,0.11556441273100747,0.005303988526043302,-0.1450962008505652,0.07869703805883486,0.05016087408533844,-0.028193473851068167,0.14586827413942588,0.060837740492530976,0.013822085833256845,0.15545308898197444,0.04472472041663159,-0.010484772536616435,0.12340326237884558,0.02943564737317197,-0.03410731830437471,0.09332618239685994,0.014633895140892436,-0.054110939343725906,0.06291157311632305,-0.008172595006310861,-0.07879493936509917,0.013260424006093246,-0.029208650814333176,-0.09611239492822025,-0.03495584262376703,-0.047375016068761086,-0.10574388796654922,-0.07895841503340184,-0.06253574133794043,-0.0962479141210285,-0.12343883216661168
-21.104002250452016,179.55060677776243,-237.73558707809576,-2.124017983601763E-10,5.98676469308072E-11,-5.618867193187608E-10,0.2206472691508973,0.1410770877686097,0.5676325835147651,-0.32545883225535316,-0.1551848297253603,-0.8437168129074936,-0.7638110985442902,-0.4423233629216991,-1.9747885783460177,-0.8861420867031219,-0.6530836864647286,-2.279219764612698,-0.53121302586902,-0.46109424961224504,-1.359770090248139,0.03003080938515919,-0.3899156242278263,0.10589618016494191,0.3047667189826638,-0.33632123842917644,0.8220842165332304,0.3415684982009803,-0.3242088024713025,0.9172335456709012,0.16527624714320557,-0.3510355954897321,0.457851793048746,0.03962295897720214,-0.27418310443241783,0.12311179143452362,0.028117141475961043,-0.15699503511150356,0.0847710739652822,0.056251269640536616,-0.028117581133827906,0.14953290177869485,0.06307629731282387,0.03580025285657885,0.16291616185186678,0.05192638142305576,0.022179906771173374,0.1345896667957475,0.04027226215895185,-0.010288863501283179,0.10631167496627969,0.02877815394945105,-0.04052016560064658,0.07827758774277889,0.009387233536161119,-0.07452573449677584,0.029761249279011682,-0.013296196629245416,-0.09569756874869102,-0.028268015467800726,-0.03413266982522672,-0.10123341708301048,-0.08252282911744684,-0.05166889460549797,-0.08342901621276817,-0.12972634835746866
