val_patient,target,calibration_fraction,n_calibration,R2,MAE,RMSE,Spearman,Top10_overlap
1,TAWSS_vector_Pa,0.01,82,0.32706675039111865,0.37046464968287485,0.902999465949278,0.7806538615262745,0.531442663378545
1,TAWSS_vector_Pa,0.02,164,0.3852905849835342,0.32523256154938546,0.8693421163725528,0.8076671934932477,0.6039850560398505
1,TAWSS_vector_Pa,0.05,410,0.40476318814547174,0.3091309376971467,0.8459264480606692,0.8313345070450696,0.62853470437018
1,TAWSS_vector_Pa,0.1,819,0.42082637351431984,0.28153302067366104,0.8401016641333355,0.8467112063018348,0.6784260515603799
1,OSI,0.01,82,0.6159138493613319,0.05781970710959651,0.07571314504049906,0.8001183981061813,0.5376078914919852
1,OSI,0.02,164,0.7211687529367123,0.04740196555674943,0.06444082347508748,0.8619768016719591,0.5703611457036114
1,OSI,0.05,410,0.7773236826029385,0.03985931951899526,0.057783524479455575,0.8973048447658964,0.609254498714653
1,OSI,0.1,819,0.8249006557071272,0.03504726853182542,0.05127322698332511,0.9198652983623726,0.6336499321573948
1,RRT_1_per_Pa,0.01,82,0.06413842764212341,2.6314927726801463,16.593194461982044,0.797854016168693,0.5967940813810111
1,RRT_1_per_Pa,0.02,164,0.06267191739676259,2.7022666899519185,16.594489868401034,0.8342837202247053,0.6039850560398505
1,RRT_1_per_Pa,0.05,410,0.06633515909958199,2.3463923046683464,16.83368914140143,0.8566903757126417,0.6311053984575835
1,RRT_1_per_Pa,0.1,819,0.0780065843604516,2.190816326401639,17.194253931251556,0.8748483610596834,0.6485753052917232
1,peak_WSS_magnitude_Pa,0.01,82,0.3923085473303587,1.958459778818835,4.574183662983911,0.8025183495928404,0.5388409371146733
1,peak_WSS_magnitude_Pa,0.02,164,0.44096725351736854,1.7773771071481572,4.412792874975685,0.822694269343037,0.5865504358655044
1,peak_WSS_magnitude_Pa,0.05,410,0.479327285860909,1.6486731995227202,4.219442011795291,0.8401852427832784,0.6143958868894601
1,peak_WSS_magnitude_Pa,0.1,819,0.48834983507902063,1.4883388300612943,4.205434198955851,0.8599793517942373,0.6675712347354138
1,VM_cycle_max_Pa,0.01,82,0.6425647989794945,1290.9535269679707,1755.389119470653,0.563739538048553,0.7990135635018496
1,VM_cycle_max_Pa,0.02,164,0.718326064717968,1151.2486778781852,1559.2870137169805,0.6443791112340066,0.8169364881693649
1,VM_cycle_max_Pa,0.05,410,0.7809017166494393,996.1000655497965,1378.5255021329754,0.7284531752932071,0.8354755784061697
1,VM_cycle_max_Pa,0.1,819,0.8141098729829668,902.9546296447577,1266.5895009256321,0.7861168404088885,0.8385345997286295
1,VM_stress_amplitude_Pa,0.01,82,0.6427391280945527,645.2790573293032,877.4804979545485,0.563872510518725,0.7990135635018496
1,VM_stress_amplitude_Pa,0.02,164,0.7183107054895589,575.6497112533154,779.6647628559286,0.6443845911252258,0.8169364881693649
1,VM_stress_amplitude_Pa,0.05,410,0.7809046794313278,498.0387193370223,689.258090671702,0.728482662416111,0.8354755784061697
1,VM_stress_amplitude_Pa,0.1,819,0.8140931064744401,451.5164647889742,633.323310023983,0.7860710337353951,0.8385345997286295
1,VM_temporal_mean_Pa,0.01,82,0.703986989995484,299.4927689640033,419.81627456382836,0.7158790654584825,0.8187422934648582
1,VM_temporal_mean_Pa,0.02,164,0.7541845375654476,272.0737832469954,382.741259932576,0.7603987857879336,0.8244084682440846
1,VM_temporal_mean_Pa,0.05,410,0.8087895050149959,235.50682411992153,338.475474354361,0.8136074028603206,0.8444730077120822
1,VM_temporal_mean_Pa,0.1,819,0.8388380335973528,210.77490596860937,309.7965580229722,0.8465862720561882,0.8575305291723202
2,TAWSS_vector_Pa,0.01,68,0.4834277051377499,0.5438924073748739,1.4172783258388877,0.860970606402847,0.5884101040118871
2,TAWSS_vector_Pa,0.02,136,0.5082962033795078,0.5038128817375528,1.386537617878881,0.8914779954582633,0.6036036036036037
2,TAWSS_vector_Pa,0.05,340,0.5567812879127318,0.44336699374793764,1.3078435425380839,0.9176058688115328,0.6362229102167183
2,TAWSS_vector_Pa,0.1,680,0.5549492404390564,0.4128342608746464,1.3032225430534856,0.9201706645978649,0.7091503267973857
2,OSI,0.01,68,0.4517027157926251,0.05435694958256167,0.07633701446202351,0.6885764739219811,0.23476968796433878
