target,calibration_fraction,mean_R2,mean_MAE,mean_Spearman,mean_Top10_overlap
OSI,0.01,0.3970150824324394,0.0628332465465309,0.6307162010547488,0.3100354286936432
OSI,0.02,0.5395248855102137,0.05300895210973986,0.7547649450306091,0.38426038177368776
OSI,0.05,0.6623566414836805,0.04237455985839259,0.840823121629157,0.46908070493790804
OSI,0.1,0.7335016132319258,0.036044798926546745,0.8759849587575138,0.535154552549197
RRT_1_per_Pa,0.01,0.10718206355419806,2.092927656661659,0.6287297670897632,0.3861215083143985
RRT_1_per_Pa,0.02,0.18027215925625106,1.9002281244851347,0.7231591525759508,0.47498736134108266
RRT_1_per_Pa,0.05,0.18682338298595602,1.6166086637334434,0.8023541079299639,0.5282864228088746
RRT_1_per_Pa,0.1,0.24580185480545869,1.4650754422318037,0.8427938381326158,0.6020850146179383
TAWSS_vector_Pa,0.01,0.30598915146073613,0.35589846413751886,0.6538019820197839,0.5341675365539085
TAWSS_vector_Pa,0.02,0.35503607715504243,0.3275352266059754,0.7019867528151531,0.513994521367351
TAWSS_vector_Pa,0.05,0.4198035562282037,0.2930195912362315,0.7910523181038954,0.6255332399500187
TAWSS_vector_Pa,0.1,0.45236964873090296,0.2695086338394492,0.8288676883752485,0.682432866859996
VM_cycle_max_Pa,0.01,0.21609712422433014,1057.9395722312481,0.40547065239939134,0.44922190710497606
VM_cycle_max_Pa,0.02,0.33909168601041556,956.9137745547486,0.4987787655907467,0.5443325907945051
VM_cycle_max_Pa,0.05,0.5126743490904678,820.124203447083,0.6351256325109201,0.615566162874296
VM_cycle_max_Pa,0.1,0.5945150491579071,741.4121560432155,0.7055553435250307,0.6266656726764277
VM_stress_amplitude_Pa,0.01,0.21615523501910983,528.9038838704247,0.4055149765561153,0.44922190710497606
VM_stress_amplitude_Pa,0.02,0.33908656883359284,478.46534417712354,0.498780592221153,0.5443325907945051
VM_stress_amplitude_Pa,0.05,0.5126753385944485,410.0583301554613,0.6351354539995708,0.615566162874296
VM_stress_amplitude_Pa,0.1,0.5945094618838639,370.71912758549223,0.7055400820153914,0.6266656726764277
VM_temporal_mean_Pa,0.01,0.2711950519142527,241.5257718793141,0.5294942676578319,0.43788473168946473
VM_temporal_mean_Pa,0.02,0.398892944258796,217.3634585769131,0.5897941198790777,0.5286554014413712
VM_temporal_mean_Pa,0.05,0.5584539249986685,186.85961883021514,0.7058179890288322,0.601537442199177
VM_temporal_mean_Pa,0.1,0.6300667977377205,167.79916341266778,0.7631531545460953,0.6329295663689869
peak_WSS_magnitude_Pa,0.01,0.34186625533049736,1.9274551906321629,0.7866127993252641,0.5588531417855007
peak_WSS_magnitude_Pa,0.02,0.4137372745242353,1.7909837865553369,0.794228284620445,0.5695883357082205
peak_WSS_magnitude_Pa,0.05,0.47632105832214133,1.6123040698359363,0.8584647811127574,0.6109518797371472
peak_WSS_magnitude_Pa,0.1,0.5139208350307461,1.4823240450812216,0.8779530090804958,0.6575046817309768
