category,file
reference_prediction_error,OSI_absolute_error_5pct.png
reference_prediction_error,OSI_prediction_5pct.png
reference_prediction_error,OSI_reference_5pct.png
uncertainty,OSI_uncertainty_width_over_trainIQR_5pct.png
OOD,P4_geometry_OOD_percentile.png
pareto,ParetoDominance_high_shear_abs_error_5pct.png
pareto,ParetoDominance_high_shear_pred_5pct.png
pareto,ParetoDominance_high_shear_ref_5pct.png
pareto,ParetoDominance_residence_oscillation_abs_error_5pct.png
pareto,ParetoDominance_residence_oscillation_pred_5pct.png
pareto,ParetoDominance_residence_oscillation_ref_5pct.png
pareto,Pareto_high_shear_abs_error_5pct.png
pareto,Pareto_high_shear_pred_5pct.png
pareto,Pareto_high_shear_ref_5pct.png
pareto,Pareto_residence_oscillation_abs_error_5pct.png
pareto,Pareto_residence_oscillation_pred_5pct.png
pareto,Pareto_residence_oscillation_ref_5pct.png
reference_prediction_error,RRT_1_per_Pa_absolute_error_5pct.png
reference_prediction_error,RRT_1_per_Pa_prediction_5pct.png
reference_prediction_error,RRT_1_per_Pa_reference_5pct.png
uncertainty,RRT_1_per_Pa_uncertainty_width_over_trainIQR_5pct.png
reference_prediction_error,TAWSS_vector_Pa_absolute_error_5pct.png
reference_prediction_error,TAWSS_vector_Pa_prediction_5pct.png
reference_prediction_error,TAWSS_vector_Pa_reference_5pct.png
uncertainty,TAWSS_vector_Pa_uncertainty_width_over_trainIQR_5pct.png
reference_prediction_error,VM_cycle_max_Pa_absolute_error_5pct.png
reference_prediction_error,VM_cycle_max_Pa_prediction_5pct.png
reference_prediction_error,VM_cycle_max_Pa_reference_5pct.png
uncertainty,VM_cycle_max_Pa_uncertainty_width_over_trainIQR_5pct.png
reference_prediction_error,VM_stress_amplitude_Pa_absolute_error_5pct.png
reference_prediction_error,VM_stress_amplitude_Pa_prediction_5pct.png
reference_prediction_error,VM_stress_amplitude_Pa_reference_5pct.png
uncertainty,VM_stress_amplitude_Pa_uncertainty_width_over_trainIQR_5pct.png
reference_prediction_error,VM_temporal_mean_Pa_absolute_error_5pct.png
reference_prediction_error,VM_temporal_mean_Pa_prediction_5pct.png
reference_prediction_error,VM_temporal_mean_Pa_reference_5pct.png
uncertainty,VM_temporal_mean_Pa_uncertainty_width_over_trainIQR_5pct.png
reference_prediction_error,peak_WSS_magnitude_Pa_absolute_error_5pct.png
reference_prediction_error,peak_WSS_magnitude_Pa_prediction_5pct.png
reference_prediction_error,peak_WSS_magnitude_Pa_reference_5pct.png
uncertainty,peak_WSS_magnitude_Pa_uncertainty_width_over_trainIQR_5pct.png
