x_mm,y_mm,z_mm,anchor_5pct,anchor_10pct
-21.609682720884937,177.84178399631455,-239.2833522556361,0,0
-21.13202155330008,176.608153916,-238.568877284,0,0
-21.22410305611573,178.14527707655492,-238.20609415284304,0,0
-21.75598619573492,176.9006196658584,-240.0143550775405,0,0
-20.74426481453768,181.90762238929457,-237.6265963407071,0,0
-20.770843410919767,180.8637167134351,-237.1505469768421,0,0
-20.29767425170012,182.000761816,-236.51353586099992,0,1
-20.31017800359561,182.8913173147529,-237.23992031190585,0,0
-21.30785220942792,181.0713601339272,-238.63301423743107,0,0
-21.104002250452016,179.55060677776245,-237.73558707809576,0,0
-21.661958404803656,179.28898005050252,-239.1781732875956,0,0
-22.06972291632373,178.2755365973593,-240.3562271326072,0,1
-22.3274931920822,177.2072000308211,-241.3460604903924,1,0
-20.155092088005446,183.9454309401001,-237.93636387770297,0,0
-19.757067781000057,185.16280016600004,-238.537725732,0,0
-20.58043976622162,183.84788914829625,-239.04428442455549,0,0
-20.511343466272667,184.53325231944748,-239.8414143454662,0,0
-20.885652405906686,182.63488828893293,-238.56707706513657,0,1
-21.55446162318146,182.03218181140096,-239.8853441502285,0,0
-21.145696554149765,183.29394397050024,-239.9862018672321,0,0
-21.937202219569475,180.6604530355423,-240.133495131136,0,0
-22.26154728641355,179.46920695052594,-240.7565722215684,0,0
-22.413901211114933,180.4427800181964,-241.3522000654086,0,0
-23.3688677615354,178.76005697972684,-243.7741110580844,0,1
-23.24907332324713,177.8664116637359,-243.5728747607424,0,0
-22.98682818616664,178.58666116261745,-242.73901735617056,0,0
-22.824825829605206,177.53245286430558,-242.5299739234703,0,0
-22.58412637911783,178.39888169526452,-241.684545309596,0,0
-22.74215771849702,179.57196926122333,-242.06230647230225,0,0
-21.19318273960406,183.96826417691736,-241.03057038967904,0,0
-22.11302416561033,181.5550893446648,-241.0887110208712,0,0
-21.714098277937293,182.7584529056529,-241.01807085329744,0,0
-22.71193296552345,180.5273746199306,-242.21539163065,0,0
-23.607769070111228,178.1910736875228,-244.4938323422992,0,0
-22.485690741614707,181.31948888430955,-241.9917320955585,0,0
-23.67922776301333,179.03114212447215,-244.64680700505247,0,0
-23.118743445903004,179.46921090082725,-243.0952164742719,0,0
-23.446047295665405,179.6649433793786,-244.0559138304248,0,1
-22.95129291099792,180.20972121030053,-242.78005908862127,0,0
-22.18408060178698,182.33432002124133,-241.952970457664,0,0
-21.78187824198337,183.4529967418221,-242.08198021002457,0,0
-22.28128220197741,182.96538542299464,-243.0061535810012,0,0
-22.85953211751394,180.99844019317345,-242.87671399452205,0,0
-23.208949710926536,180.36559696336363,-243.5816480408875,0,0
-23.907005624880824,178.49912406617491,-245.3113470954748,0,0
-22.62795464365586,181.95577671085232,-242.9166948353336,0,0
-23.078606378270244,181.4140332571636,-243.8349372733533,0,0
-22.7063150094479,182.5134094937476,-243.8199987050968,1,1
-23.94548957780676,179.2620171658194,-245.4545687749205,0,1
-23.450318908975905,180.5645712828364,-244.4043610469633,0,0
-23.719603690254303,179.8528877202779,-244.9144024044578,0,1
-23.331106457218663,181.3958709208944,-244.6510348753155,0,1
-24.15059073263204,178.78232351778252,-246.0391494260857,1,0
-23.066326924229443,182.0947232949661,-244.53587949016952,0,0
-23.950426221630583,180.01845744965829,-245.7144602972133,0,0
-24.15404628690341,179.47256889739123,-246.16361813397404,0,0
-24.344454711796825,179.03719573753938,-246.68978790906303,0,0
-24.142835265562063,179.98700702489123,-246.36085278480945,0,0
-23.5609333845613,181.02512810311543,-245.0973710620746,0,0
-23.718681253591143,180.46161054029955,-245.2004209380184,0,0
-23.795773513702105,180.74266519712327,-245.6804095047985,0,1
-23.37187613701256,181.708905268816,-245.16898485250977,0,0
-23.6365121779348,181.35113118643733,-245.74107151147035,1,0
-24.32399682993953,179.64334852389507,-246.82026985816032,0,0
-24.45786134035152,179.71422191696416,-247.365695670458,0,0
