target,calibration_fraction,Spearman_OOD_vs_normalized_abs_error,mean_error_OOD95,mean_error_in_domain
TAWSS_vector_Pa,0.05,0.33384364549942974,,0.7301810704222116
OSI,0.05,0.37312413537470196,,0.24181193461352013
RRT_1_per_Pa,0.05,0.35184043745058413,,1.5039445555306163
peak_WSS_magnitude_Pa,0.05,0.31145284477390034,,0.6748476459739778
VM_cycle_max_Pa,0.05,0.01536742899348208,,0.3673444930592864
VM_stress_amplitude_Pa,0.05,0.015377652738650613,,0.36733185982936584
VM_temporal_mean_Pa,0.05,0.05255488384406084,,0.36917879814583976
TAWSS_vector_Pa,0.1,0.2936271559822568,,0.7604654006830763
OSI,0.1,0.32486148616615457,,0.20237691384666875
RRT_1_per_Pa,0.1,0.2797857027292773,,1.5493816609639053
peak_WSS_magnitude_Pa,0.1,0.30136253246962497,,0.6639545100729641
VM_cycle_max_Pa,0.1,0.013783820749579796,,0.3451467171985338
VM_stress_amplitude_Pa,0.1,0.013808766158443397,,0.34513281641923665
VM_temporal_mean_Pa,0.1,0.0628651698374189,,0.34524304423536506
