target,calibration_fraction,q90_transformed_residual,P4_nonanchor_coverage,median_width_over_trainIQR,p95_width_over_trainIQR
TAWSS_vector_Pa,0.05,0.2959124991154845,0.8836967808930426,2.0524300040138748,3.6185139539101576
OSI,0.05,0.11309460925311329,0.9140706126687436,1.2474189012879329,1.2474189012879329
RRT_1_per_Pa,0.05,0.5762181541911542,0.9003115264797508,0.8676243105708626,1.544177953279143
peak_WSS_magnitude_Pa,0.05,0.5869928123646204,0.8935617860851506,1.7695271356100308,5.146574641781008
VM_cycle_max_Pa,0.05,0.6635208661226167,0.9031671858774662,1.5264606043373128,2.4283088926896923
VM_stress_amplitude_Pa,0.05,0.6635208693846723,0.9029075804776739,1.5264933386149395,2.4283669873525464
VM_temporal_mean_Pa,0.05,0.6192575585664294,0.9010903426791277,1.626004236584088,2.6082956324479114
TAWSS_vector_Pa,0.1,0.2583547932685333,0.8563990134283366,1.7752580984031208,4.051580355455268
OSI,0.1,0.09841740057055492,0.9238147437654152,1.0855311893122477,1.0855311893122477
RRT_1_per_Pa,0.1,0.5160034887727448,0.9043573581803234,0.7419035576729539,1.515950156351903
peak_WSS_magnitude_Pa,0.1,0.5039119495779295,0.8799671142778843,1.5078069860964738,5.808840879362234
VM_cycle_max_Pa,0.1,0.6048872020939273,0.8753083036448343,1.4210305582811236,2.5889331180013992
VM_stress_amplitude_Pa,0.1,0.6048872041184057,0.8753083036448343,1.4210327319585583,2.5888849107253766
VM_temporal_mean_Pa,0.1,0.558089592584196,0.8753083036448343,1.4563442332404748,2.745962869629536
