target,calibration_fraction,n_calibration_P123,n_evaluation_P123,R2_P123,MAE_P123,RMSE_P123,NMAE_IQR,Spearman_P123,Top10_overlap_P123,R2_log1p,n_calibration_P13,n_evaluation_P13,R2_P13,MAE_P13,RMSE_P13,Spearman_P13,Top10_overlap_P13,delta_R2_P123_minus_P13,delta_Spearman_P123_minus_P13,delta_Top10_overlap_P123_minus_P13,delta_MAE_P123_minus_P13,delta_RMSE_P123_minus_P13
TAWSS_vector_Pa,0.01,41,4014,-0.07103710609858305,0.48896456503243074,1.3797509073378624,1.0529281510770163,0.34944367275611415,0.3167082294264339,-0.09856616695871456,41,4014,-0.0723386604795099,0.487068637083628,1.3805890088266342,0.3567210644149914,0.3241895261845386,0.001301554380926856,-0.0072773916588772525,-0.007481296758104716,0.0018959279488027225,-0.0008381014887717253
TAWSS_vector_Pa,0.02,81,3974,0.19007080163315448,0.42504855177804957,1.2033282044989668,0.9131019037078973,0.5785137962845072,0.5239294710327456,0.2676108705884014,81,3974,0.1899888648039481,0.4244440146666412,1.203389070562474,0.5777770787985421,0.5264483627204031,8.19368292063749e-05,0.0007367174859650438,-0.0025188916876575096,0.0006045371114083431,-6.0866063507081236e-05
TAWSS_vector_Pa,0.05,203,3852,0.23397216147834976,0.407687685112686,1.17883722567096,0.8705152779683224,0.6708494679050235,0.587012987012987,0.35988933367623743,203,3852,0.2340395524280364,0.4074854282902294,1.178785370696842,0.67115479797423,0.587012987012987,-6.739094968663539e-05,-0.00030533006920652195,0.0,0.00020225682245661458,5.18549741179708e-05
TAWSS_vector_Pa,0.1,406,3649,0.29384447338767905,0.42459657114023086,1.1335704217608265,0.9100122269137666,0.6930041601434483,0.6684931506849315,0.3252381993196458,406,3649,0.2938640522219495,0.424511742680135,1.1335547069923195,0.6933993341386521,0.6684931506849315,-1.9578834270450596e-05,-0.00039517399520372365,0.0,8.482846009588707e-05,1.571476850692477e-05
OSI,0.01,41,4014,0.3217160622369657,0.061982159860932674,0.0844999388770697,0.46568712802508744,0.6202956030591166,0.4463840399002494,0.32695454764825493,41,4014,0.2814821122623059,0.0651037220790822,0.0869699901048618,0.5700032578703592,0.4214463840399002,0.04023394997465979,0.05029234518875736,0.024937655860349184,-0.0031215622181495276,-0.0024700512277920916
OSI,0.02,81,3974,0.4611839349589417,0.05254854872284717,0.0751895358000608,0.3984512349890654,0.7025618513061296,0.5390428211586902,0.4688205813302244,81,3974,0.4368611822183179,0.0551069374572001,0.0768678737264576,0.6726116590618438,0.5239294710327456,0.024322752740623843,0.029950192244285745,0.015113350125944613,-0.0025583887343529274,-0.0016783379263968085
OSI,0.05,203,3852,0.6029487801277216,0.04384674022434584,0.0644499671140704,0.3294982129189704,0.8073753934588513,0.6675324675324675,0.6150163055880187,203,3852,0.599479692481198,0.0444538571386249,0.0647309086248803,0.8011652849509406,0.6649350649350649,0.0034690876465235387,0.0062101085079107055,0.0025974025974025983,-0.00060711691427906,-0.00028094151080990115
OSI,0.1,406,3649,0.6984167472637621,0.036696153905811255,0.05595429523524162,0.2784580704125639,0.8540420437550034,0.673972602739726,0.7081954237178383,406,3649,0.6991662279542765,0.0369412403409375,0.0558847244771888,0.8539618492422745,0.673972602739726,-0.0007494806905143925,8.019451272889278e-05,0.0,-0.00024508643512624606,6.957075805281987e-05
RRT_1_per_Pa,0.01,41,4014,0.0002905681278270178,6.34118026378337,281.7261707835121,4.6342285045775125,0.27234335398214443,0.2743142144638404,-0.12217882894654286,41,4014,0.0002462544748508,6.331326397738884,281.73241468650275,0.3055882480433077,0.2768079800498753,4.431365297621778e-05,-0.033244894061163266,-0.0024937655860348684,0.00985386604448557,-0.006243902990661354
RRT_1_per_Pa,0.02,81,3974,0.0013204275450110492,6.101857644188723,282.9933862279379,4.491743648288735,0.4914397648841819,0.3602015113350126,0.11948913421977359,81,3974,0.0012624475767335,6.092367674159604,283.001600929564,0.5240249120339161,0.4030226700251889,5.797996827754917e-05,-0.032585147149734206,-0.042821158690176275,0.009489970029118666,-0.008214701626116039
