target,calibration_fraction,n_calibration,n_evaluation,R2,MAE,RMSE,NMAE_IQR,Spearman,Top10_overlap,R2_log1p
TAWSS_vector_Pa,0.01,41,4014,-0.07103710609858305,0.48896456503243074,1.3797509073378624,1.0529281510770163,0.34944367275611415,0.3167082294264339,-0.09856616695871456
TAWSS_vector_Pa,0.02,81,3974,0.19007080163315448,0.42504855177804957,1.2033282044989668,0.9131019037078973,0.5785137962845072,0.5239294710327456,0.2676108705884014
TAWSS_vector_Pa,0.05,203,3852,0.23397216147834976,0.407687685112686,1.17883722567096,0.8705152779683224,0.6708494679050235,0.587012987012987,0.35988933367623743
TAWSS_vector_Pa,0.1,406,3649,0.29384447338767905,0.42459657114023086,1.1335704217608265,0.9100122269137666,0.6930041601434483,0.6684931506849315,0.3252381993196458
OSI,0.01,41,4014,0.3217160622369657,0.061982159860932674,0.0844999388770697,0.46568712802508744,0.6202956030591166,0.4463840399002494,0.32695454764825493
OSI,0.02,81,3974,0.4611839349589417,0.05254854872284717,0.0751895358000608,0.3984512349890654,0.7025618513061296,0.5390428211586902,0.4688205813302244
OSI,0.05,203,3852,0.6029487801277216,0.04384674022434584,0.0644499671140704,0.3294982129189704,0.8073753934588513,0.6675324675324675,0.6150163055880187
OSI,0.1,406,3649,0.6984167472637621,0.036696153905811255,0.05595429523524162,0.2784580704125639,0.8540420437550034,0.673972602739726,0.7081954237178383
RRT_1_per_Pa,0.01,41,4014,0.0002905681278270178,6.34118026378337,281.7261707835121,4.6342285045775125,0.27234335398214443,0.2743142144638404,-0.12217882894654286
RRT_1_per_Pa,0.02,81,3974,0.0013204275450110492,6.101857644188723,282.9933862279379,4.491743648288735,0.4914397648841819,0.3602015113350126,0.11948913421977359
RRT_1_per_Pa,0.05,203,3852,-0.0004717401662539533,5.959429218038227,287.69652736128114,4.337383737184215,0.7105876992831753,0.5792207792207792,0.3566499427295259
RRT_1_per_Pa,0.1,406,3649,-0.0004605918432611933,6.13947522618823,295.5851636974597,4.503989319679018,0.7514823924107872,0.6,0.3926495074163652
peak_WSS_magnitude_Pa,0.01,41,4014,-0.05649481285636182,2.604563024461923,7.110683675398353,0.9313628565685604,0.48965542919682514,0.30673316708229426,0.003969386408369635
peak_WSS_magnitude_Pa,0.02,81,3974,0.21074019947560607,2.2982321334085083,6.162182019824871,0.8169257476955706,0.6368040757302685,0.5365239294710328,0.33657895154931805
peak_WSS_magnitude_Pa,0.05,203,3852,0.3022106668437211,2.034979351237952,5.8348239012177805,0.7171450258603586,0.7319930834830494,0.6051948051948052,0.4701615705100305
peak_WSS_magnitude_Pa,0.1,406,3649,0.39010300696176725,2.0021314828916106,5.460700612022926,0.7018354114723168,0.7417885551048689,0.663013698630137,0.4612350699104605
VM_cycle_max_Pa,0.01,41,4014,0.04593711660157862,899.6779936025409,1210.6534679666074,0.5751704242316673,0.2817103043088913,0.2169576059850374,0.07624471406737299
VM_cycle_max_Pa,0.02,81,3974,0.21041045395336144,824.6621414152694,1103.1982153074805,0.5264123048305362,0.40949165965887924,0.3904282115869018,0.1867308530924061
VM_cycle_max_Pa,0.05,203,3852,0.31674898798103013,728.6733740564453,1028.9401257217578,0.4634495767111493,0.5689549763840062,0.5064935064935064,0.3411587673361792
VM_cycle_max_Pa,0.1,406,3649,0.3718115599130817,684.6413318219255,991.0689568505932,0.43315032809522575,0.6215106001536707,0.4821917808219178,0.3994226441670118
VM_stress_amplitude_Pa,0.01,41,4014,0.04600076158314104,449.8196323154465,605.306542050959,0.5751456737590438,0.281759624943234,0.2169576059850374,0.07630964635891424
VM_stress_amplitude_Pa,0.02,81,3974,0.21039499967124775,412.3233709463291,551.6045047233331,0.5264024782014933,0.4094416907059784,0.3904282115869018,0.18673559572836773
VM_stress_amplitude_Pa,0.05,203,3852,0.3167811264977639,364.3241654411385,514.4579620421605,0.4634336567414234,0.5689974639775767,0.5064935064935064,0.3411770244635772
VM_stress_amplitude_Pa,0.1,406,3649,0.3718363099715227,342.30688665745515,495.5247155912939,0.4331328932966052,0.6215427931002823,0.4821917808219178,0.3994524106624525
VM_temporal_mean_Pa,0.01,41,4014,0.10995987335582602,216.03377880827895,292.23332790190915,0.5226249892441973,0.48059320622799373,0.16708229426433915,0.22302356408783341
VM_temporal_mean_Pa,0.02,81,3974,0.24828990894065361,199.5530408302546,268.85851001284044,0.4816526097716916,0.5356658192670744,0.2972292191435768,0.30933202076787847
VM_temporal_mean_Pa,0.05,203,3852,0.41019025351364913,170.05934002524788,238.54739729993372,0.41074011474733185,0.6727585386110507,0.5064935064935064,0.47182194057535465
VM_temporal_mean_Pa,0.1,406,3649,0.45918506839220086,159.0335212797898,228.40567302349893,0.38237205783309036,0.6924709884684469,0.5424657534246575,0.5070996735809983
