train_patient,val_patient,target,calibration_fraction,n_calibration,n_evaluation,R2,MAE,RMSE,Spearman,Top10_overlap
3,1,TAWSS_vector_Pa,0.01,82,8109,0.3185034793642795,0.3922914315770363,0.9087267683731672,0.7437463418084856,0.5240443896424167
3,1,TAWSS_vector_Pa,0.02,164,8027,0.3815834152065084,0.34067582895331666,0.871959576224269,0.7758797026698174,0.5965130759651308
3,1,TAWSS_vector_Pa,0.05,410,7781,0.40755354037624036,0.3189724820819108,0.8439413511062956,0.8140369575472908,0.6079691516709511
3,1,TAWSS_vector_Pa,0.1,819,7372,0.42257804051572345,0.2831918479705664,0.8388302900144233,0.8431499745823828,0.6784260515603799
3,1,OSI,0.01,82,8109,0.6168534648865064,0.05781222042667189,0.07562047727688007,0.8029266798506269,0.5055487053020962
3,1,OSI,0.02,164,8027,0.7187999463154313,0.04805107991380352,0.06471397258665527,0.8606994832374215,0.5803237858032378
3,1,OSI,0.05,410,7781,0.7709005877419037,0.04076216183223771,0.05861098232307442,0.8936178714819365,0.5989717223650386
3,1,OSI,0.1,819,7372,0.8212859219511656,0.03571376130031557,0.05179976316881979,0.9177563048274057,0.6255088195386703
3,1,RRT_1_per_Pa,0.01,82,8109,0.05594056883756715,2.7533663010427696,16.6657116347438,0.769930572505377,0.562268803945746
3,1,RRT_1_per_Pa,0.02,164,8027,0.04671660266228306,2.806357234513041,16.73513062390024,0.8144972162527372,0.5828144458281445
3,1,RRT_1_per_Pa,0.05,410,7781,0.06332928293692086,2.4176022415824154,16.860764876853132,0.8414940814403398,0.5938303341902313
3,1,RRT_1_per_Pa,0.1,819,7372,0.07371935992229872,2.2498077688647222,17.23418378841899,0.868152585841782,0.6377204884667571
3,1,peak_WSS_magnitude_Pa,0.01,82,8109,0.39418196409877193,1.9773441189182213,4.567127477621836,0.7925234179485219,0.5252774352651048
3,1,peak_WSS_magnitude_Pa,0.02,164,8027,0.43718226656618986,1.8100440804399813,4.427706301429014,0.813990744573591,0.5765877957658779
3,1,peak_WSS_magnitude_Pa,0.05,410,7781,0.47502187373076765,1.6526129037771857,4.236851256121854,0.8410927231362767,0.5912596401028277
3,1,peak_WSS_magnitude_Pa,0.1,819,7372,0.4910092795445362,1.4791657623792185,4.194490500985325,0.8578998134678726,0.6879240162822252
3,1,VM_cycle_max_Pa,0.01,82,8109,0.6577914743745653,1259.3851564686017,1717.592576548104,0.5977852130229451,0.8064118372379778
3,1,VM_cycle_max_Pa,0.02,164,8027,0.7121915963303345,1164.222779360173,1576.17511541902,0.6372197346085594,0.8169364881693649
3,1,VM_cycle_max_Pa,0.05,410,7781,0.7808800123654309,999.419497501253,1378.59378009392,0.7292841087260834,0.8367609254498715
3,1,VM_cycle_max_Pa,0.1,819,7372,0.8150826596262822,904.9584666163122,1263.2710418918361,0.7882626230700386,0.8398914518317503
3,1,VM_stress_amplitude_Pa,0.01,82,8109,0.6577914731886729,629.6925788775842,858.7962896874408,0.5977852130229451,0.8064118372379778
3,1,VM_stress_amplitude_Pa,0.02,164,8027,0.7121915956197828,582.1113903268689,788.0875586131344,0.6372195899686097,0.8169364881693649
3,1,VM_stress_amplitude_Pa,0.05,410,7781,0.7808800123591071,499.70974894665216,689.2968899955256,0.7292841087260834,0.8367609254498715
3,1,VM_stress_amplitude_Pa,0.1,819,7372,0.8150826594723013,452.47923353041153,631.6355211511957,0.7882626230700386,0.8398914518317503
3,1,VM_temporal_mean_Pa,0.01,82,8109,0.6780252717786509,309.7352919397001,437.8393228912199,0.7061813203995883,0.8027127003699137
3,1,VM_temporal_mean_Pa,0.02,164,8027,0.7493231164531625,274.22935665209366,386.50741202204387,0.7546268020325503,0.821917808219178
3,1,VM_temporal_mean_Pa,0.05,410,7781,0.808992868459806,235.74675013116743,338.29543232709807,0.8145457652723055,0.8444730077120822
3,1,VM_temporal_mean_Pa,0.1,819,7372,0.8391734487294473,211.04681567254255,309.4740111545106,0.8474763362369855,0.8575305291723202
1,3,TAWSS_vector_Pa,0.01,32,3171,0.10376987366855672,0.1555242271410995,0.34521159670769025,0.26105236568688184,0.48580441640378547
1,3,TAWSS_vector_Pa,0.02,64,3139,0.1646551330380419,0.15570702943938272,0.33268420808697996,0.3855613871897683,0.32802547770700635
1,3,TAWSS_vector_Pa,0.05,160,3043,0.29842983659830735,0.12643440361493144,0.30893801099118356,0.6259875471727756,0.6118421052631579
1,3,TAWSS_vector_Pa,0.1,320,2883,0.3812439920254369,0.11416620987115832,0.29357013013380107,0.7187215017226486,0.6597222222222222
1,3,OSI,0.01,32,3171,0.12384556929166801,0.07559447854620846,0.09173921459580604,0.3992278995930823,0.19558359621451105
1,3,OSI,0.02,64,3139,0.3060897447518234,0.06563265482312525,0.08164053931559612,0.588431259587868,0.29936305732484075
1,3,OSI,0.05,160,3043,0.47957326936514033,0.053303126330315635,0.07096886640312296,0.7230736998934179,0.3717105263157895
1,3,OSI,0.1,320,2883,0.6081335133057482,0.04390825956515589,0.06155807288307861,0.799926948250117,0.4548611111111111
1,3,RRT_1_per_Pa,0.01,32,3171,0.01820350879141286,1.282273682838563,2.384982579559131,0.28540406419658054,0.10725552050473186
1,3,RRT_1_per_Pa,0.02,64,3139,0.10175149577395726,1.123758053147831,2.2919469990649923,0.4894918229559388,0.2929936305732484
1,3,RRT_1_per_Pa,0.05,160,3043,0.13853113856235388,0.9921230169208369,2.2187137664898504,0.6450585808879856,0.3980263157894737
1,3,RRT_1_per_Pa,0.1,320,2883,0.22448970112982858,0.8768253386550899,2.129127128481071,0.7378576255391265,0.4756944444444444
1,3,peak_WSS_magnitude_Pa,0.01,32,3171,0.17649908768759026,0.7477624798361008,1.693664685090922,0.6552020785681754,0.47318611987381703
1,3,peak_WSS_magnitude_Pa,0.02,64,3139,0.26601304729431774,0.7308275715563733,1.5941319478456248,0.6414942517523506,0.47770700636942676
1,3,peak_WSS_magnitude_Pa,0.05,160,3043,0.36619311771701923,0.5815355473010683,1.500060219361,0.7961483510757441,0.6052631578947368
1,3,peak_WSS_magnitude_Pa,0.1,320,2883,0.46908603223396106,0.5292262616869644,1.3876178217675124,0.8333493930496222,0.625
1,3,VM_cycle_max_Pa,0.01,32,3171,-0.30737805946130803,1277.720321645961,1695.3973628925037,0.13276145770841027,0.19242902208201892
1,3,VM_cycle_max_Pa,0.02,64,3139,-0.0036024453499714504,1084.8723007110789,1485.8206161821126,0.2853924555374304,0.24203821656050956
1,3,VM_cycle_max_Pa,0.05,160,3043,0.2898470538680584,931.6631954922519,1256.4238879273007,0.49799763519673634,0.4440789473684211
1,3,VM_cycle_max_Pa,0.1,320,2883,0.41022829737790123,849.84229304993,1154.2511257869853,0.6054029810270538,0.4513888888888889
1,3,VM_stress_amplitude_Pa,0.01,32,3171,-0.30737805619870806,638.8601597466032,847.6986793175151,0.13276145770841027,0.19242902208201892
1,3,VM_stress_amplitude_Pa,0.02,64,3139,-0.0036024447876941146,542.4361496966415,742.9103069328088,0.2853924555374304,0.24203821656050956
1,3,VM_stress_amplitude_Pa,0.05,160,3043,0.28984705379972464,465.8315973897886,628.2119432053872,0.49799763519673634,0.4440789473684211
1,3,VM_stress_amplitude_Pa,0.1,320,2883,0.4102282973865331,424.92114630540254,577.1255621857156,0.6054029810270538,0.4513888888888889
1,3,VM_temporal_mean_Pa,0.01,32,3171,-0.17645809867424145,284.59316792140845,387.5448926044082,0.37063263307945227,0.09779179810725552
1,3,VM_temporal_mean_Pa,0.02,64,3139,0.096747188745405,246.59382928499602,339.07399974168857,0.4407863150361204,0.21019108280254778
1,3,VM_temporal_mean_Pa,0.05,160,3043,0.28545049422514446,219.38327389235272,302.77428986356284,0.5840595848596922,0.3223684210526316
1,3,VM_temporal_mean_Pa,0.1,320,2883,0.4175016453362035,193.99534009682924,275.4864869086507,0.6912017146125938,0.3680555555555556
