target,calibration_fraction,n_calibration,n_evaluation,R2,MAE,RMSE,Spearman,Top10_overlap
TAWSS_vector_Pa,0.01,41,4014,-0.07233866047950999,0.487068637083628,1.3805890088266342,0.3567210644149914,0.32418952618453867
TAWSS_vector_Pa,0.02,81,3974,0.18998886480394817,0.4244440146666412,1.203389070562474,0.5777770787985421,0.5264483627204031
TAWSS_vector_Pa,0.05,203,3852,0.23403955242803642,0.4074854282902294,1.178785370696842,0.67115479797423,0.587012987012987
TAWSS_vector_Pa,0.1,406,3649,0.29386405222194956,0.424511742680135,1.1335547069923195,0.6933993341386521,0.6684931506849315
OSI,0.01,41,4014,0.2814821122623059,0.06510372207908224,0.08696999010486181,0.5700032578703592,0.42144638403990026
OSI,0.02,81,3974,0.43686118221831793,0.05510693745720013,0.0768678737264576,0.6726116590618438,0.5239294710327456
OSI,0.05,203,3852,0.599479692481198,0.044453857138624965,0.06473090862488036,0.8011652849509406,0.6649350649350649
OSI,0.1,406,3649,0.6991662279542765,0.03694124034093751,0.0558847244771888,0.8539618492422745,0.673972602739726
RRT_1_per_Pa,0.01,41,4014,0.00024625447485082663,6.331326397738884,281.73241468650275,0.3055882480433077,0.27680798004987534
RRT_1_per_Pa,0.02,81,3974,0.0012624475767335497,6.092367674159604,283.001600929564,0.5240249120339161,0.40302267002518893
RRT_1_per_Pa,0.05,203,3852,-0.00047390810947933737,5.962121417698376,287.6968390689359,0.7124606909012793,0.5792207792207792
RRT_1_per_Pa,0.1,406,3649,-0.00046175853406049683,6.140293547778249,295.5853360462724,0.7526865422789908,0.6027397260273972
peak_WSS_magnitude_Pa,0.01,41,4014,-0.06325380280597748,2.587965875585235,7.133392928421625,0.48419054482735724,0.24937655860349128
peak_WSS_magnitude_Pa,0.02,81,3974,0.18785334748605365,2.323159348293828,6.25088861212075,0.631315347878831,0.5415617128463476
peak_WSS_magnitude_Pa,0.05,203,3852,0.28810248359424384,2.032110204970725,5.893514129365937,0.7361133517087641,0.6233766233766234
peak_WSS_magnitude_Pa,0.1,406,3649,0.38233279579290025,1.9909616590122774,5.495375735216379,0.7499475274228404,0.6547945205479452
VM_cycle_max_Pa,0.01,41,4014,0.014273074554090437,917.7263821580177,1230.5794546465252,0.2510423113887853,0.22942643391521197
VM_cycle_max_Pa,0.02,81,3974,0.19084202819854457,832.1844779292178,1116.7848512488297,0.39439963206075934,0.3929471032745592
VM_cycle_max_Pa,0.05,203,3852,0.3217672060058573,730.864770694659,1025.1545757139238,0.5724280992289733,0.509090909090909
VM_cycle_max_Pa,0.1,406,3649,0.37170532817458335,686.4983001338782,991.1527521903874,0.6292611112635778,0.4821917808219178
VM_stress_amplitude_Pa,0.01,41,4014,0.014614641840754894,458.7182551034828,615.1831139974373,0.25150243024113744,0.22942643391521197
VM_stress_amplitude_Pa,0.02,81,3974,0.19090450883136934,416.0565151264502,558.370865537761,0.39454611808308765,0.3929471032745592
VM_stress_amplitude_Pa,0.05,203,3852,0.32185292576352653,365.40876095551926,512.5448943561589,0.572469000626329,0.509090909090909
VM_stress_amplitude_Pa,0.1,406,3649,0.37173020787849065,343.2396217559974,495.56656295556786,0.6292687782266966,0.4821917808219178
VM_temporal_mean_Pa,0.01,41,4014,0.11215278864047729,215.56687227294978,291.8730979905412,0.46518526991463616,0.1596009975062344
VM_temporal_mean_Pa,0.02,81,3974,0.2589085719782338,199.06446057687842,266.9528073020847,0.5531380960188746,0.35768261964735515
VM_temporal_mean_Pa,0.05,203,3852,0.4011597961062954,171.70659704539685,240.36663566435337,0.66726461459541,0.5064935064935064
VM_temporal_mean_Pa,0.1,406,3649,0.4569252023706615,160.33031167645683,228.8823870490187,0.6912927743387686,0.5424657534246575
