method,config,mean_TNMAE,mean_R2,mean_Spearman,mean_Top10
KNN,k=5,0.3051622369671969,0.48137340940302065,0.7856476044133927,0.6078288777288754
KNN,k=10,0.3241492538324989,0.4727901041260185,0.7750556674431126,0.5782660891669165
KNN,k=20,0.35137146077120784,0.4369999948412266,0.7541469410765592,0.5516955626565784
IDW,"k=8,p=1",0.29126781905237803,0.5377311094584325,0.8177337643526212,0.6306525203325366
IDW,"k=8,p=2",0.25941799217955075,0.5558375596443789,0.8457954284855457,0.6656532178333834
IDW,"k=8,p=3",0.2499516936911616,0.5296418539066375,0.8525249514812101,0.6760843651039994
IDW,"k=12,p=1",0.31238485421648243,0.5108934227854337,0.8002968278228815,0.6044022251935094
IDW,"k=12,p=2",0.26828748410507,0.5502001764080635,0.8404431373828539,0.6560106278789873
IDW,"k=12,p=3",0.2527740933011401,0.5300989924447013,0.8508165977243197,0.6737693199996817
IDW,"k=20,p=1",0.3405298397106869,0.47002817060653257,0.7757719018645206,0.5780428004647942
IDW,"k=20,p=2",0.28027509986947263,0.5395734142592968,0.8336916399840701,0.6447593920533982
IDW,"k=20,p=3",0.2563233365974121,0.5287510512672077,0.8488181069948108,0.6682823041271712
RBF,"n=30,s=1e-06",0.21516336042735013,0.5460495622593059,0.8796279008275181,0.7220268446078653
RBF,"n=30,s=0.001",0.21484013831931215,0.5693260049386941,0.8799535624084206,0.7213595761670925
RBF,"n=50,s=1e-06",0.21430841125568614,0.5480385350077903,0.8806233213422433,0.7209326746979854
RBF,"n=50,s=0.001",0.2141415374018736,0.5711481268034643,0.8807400354127136,0.7200619316639297
RBF,"n=80,s=1e-06",0.2140968127848913,0.5490498714705628,0.8811563466236435,0.7213127629169198
RBF,"n=80,s=0.001",0.21396498646126075,0.5721559743979654,0.8812320172329877,0.7207568348450643
