target,method,distance_quartile,n,median_nearest_anchor_distance_stdxyz,mean_abs_error_over_IQR,median_abs_error_over_IQR,Spearman_distance_vs_abs_error_all_nonanchor
TAWSS_vector_Pa,Prior+adapt,1,963,0.058934101690112754,1.7944077946274937,0.4243158447299769,-0.18798393415883385
TAWSS_vector_Pa,Prior+adapt,2,963,0.10731459453762249,0.7386381461835447,0.2258970458476117,-0.18798393415883385
TAWSS_vector_Pa,Prior+adapt,3,963,0.16598449944227656,0.5599520387533603,0.2207314507312947,-0.18798393415883385
TAWSS_vector_Pa,Prior+adapt,4,963,0.2798163039054736,0.38906313230889056,0.19683388111122121,-0.18798393415883385
TAWSS_vector_Pa,IDW,1,963,0.058934101690112754,1.8865085693629395,0.2462814896143557,-0.14681609594007383
TAWSS_vector_Pa,IDW,2,963,0.10731459453762249,0.6917153412793734,0.13983252903971444,-0.14681609594007383
TAWSS_vector_Pa,IDW,3,963,0.16598449944227656,0.507562176641871,0.1290808207154404,-0.14681609594007383
TAWSS_vector_Pa,IDW,4,963,0.2798163039054736,0.3190204467860175,0.1525400537741971,-0.14681609594007383
TAWSS_vector_Pa,RBF,1,963,0.058934101690112754,1.895126628632885,0.2239886376590855,-0.1698462040216673
TAWSS_vector_Pa,RBF,2,963,0.10731459453762249,0.7467899879394903,0.08599965976431637,-0.1698462040216673
TAWSS_vector_Pa,RBF,3,963,0.16598449944227656,0.5448042337326802,0.07798307165683589,-0.1698462040216673
TAWSS_vector_Pa,RBF,4,963,0.2798163039054736,0.38983171078504514,0.09849801389893122,-0.1698462040216673
OSI,Prior+adapt,1,963,0.058934101690112754,0.2121331689790231,0.11082039712405278,0.3089806670425137
OSI,Prior+adapt,2,963,0.10731459453762249,0.2970061779135353,0.188371393611736,0.3089806670425137
OSI,Prior+adapt,3,963,0.16598449944227656,0.343231628031978,0.22253202142242787,0.3089806670425137
OSI,Prior+adapt,4,963,0.2798163039054736,0.46562187675134475,0.36109305243710954,0.3089806670425137
OSI,IDW,1,963,0.058934101690112754,0.12731878467567248,0.07009158264606812,0.2628486717739325
OSI,IDW,2,963,0.10731459453762249,0.18015593763313736,0.09005485133363046,0.2628486717739325
OSI,IDW,3,963,0.16598449944227656,0.2121601511561819,0.11395843022079442,0.2628486717739325
OSI,IDW,4,963,0.2798163039054736,0.2643052755504981,0.17226657140563933,0.2628486717739325
OSI,RBF,1,963,0.058934101690112754,0.10964687814629273,0.05848512408993348,0.19699760290590015
OSI,RBF,2,963,0.10731459453762249,0.12502344928426282,0.061916999120240096,0.19699760290590015
OSI,RBF,3,963,0.16598449944227656,0.13100893168821628,0.07574151920306305,0.19699760290590015
OSI,RBF,4,963,0.2798163039054736,0.1885238351539618,0.1166224113416658,0.19699760290590015
RRT_1_per_Pa,Prior+adapt,1,963,0.058934101690112754,14.35436840905277,0.177649835616664,0.1585667418469802
RRT_1_per_Pa,Prior+adapt,2,963,0.10731459453762249,0.7925444967215907,0.22191337793848515,0.1585667418469802
RRT_1_per_Pa,Prior+adapt,3,963,0.16598449944227656,0.7966010917346961,0.2694368984879835,0.1585667418469802
RRT_1_per_Pa,Prior+adapt,4,963,0.2798163039054736,1.4060209512278075,0.3562237082687293,0.1585667418469802
RRT_1_per_Pa,IDW,1,963,0.058934101690112754,14.26405370232427,0.10505921534877473,0.19077808713118546
RRT_1_per_Pa,IDW,2,963,0.10731459453762249,0.6302394747084029,0.1259936554519666,0.19077808713118546
RRT_1_per_Pa,IDW,3,963,0.16598449944227656,0.6123921351367643,0.14009335620605748,0.19077808713118546
RRT_1_per_Pa,IDW,4,963,0.2798163039054736,1.136249500268745,0.24190186438250594,0.19077808713118546
RRT_1_per_Pa,RBF,1,963,0.058934101690112754,14.205054254432952,0.07625878726602171,0.20792794959227698
RRT_1_per_Pa,RBF,2,963,0.10731459453762249,0.551060002770795,0.08558910090627515,0.20792794959227698
RRT_1_per_Pa,RBF,3,963,0.16598449944227656,0.507230039921921,0.11364266842883836,0.20792794959227698
RRT_1_per_Pa,RBF,4,963,0.2798163039054736,0.958204057089932,0.2049850673520819,0.20792794959227698
peak_WSS_magnitude_Pa,Prior+adapt,1,963,0.058934101690112754,1.5093631325618786,0.31743093150818213,-0.2284301688889765
peak_WSS_magnitude_Pa,Prior+adapt,2,963,0.10731459453762249,0.6054703207862187,0.19359544612416665,-0.2284301688889765
peak_WSS_magnitude_Pa,Prior+adapt,3,963,0.16598449944227656,0.45036585804340834,0.17519141841749655,-0.2284301688889765
peak_WSS_magnitude_Pa,Prior+adapt,4,963,0.2798163039054736,0.3033807920499287,0.14777443705821425,-0.2284301688889765
peak_WSS_magnitude_Pa,IDW,1,963,0.058934101690112754,1.55302031298655,0.21398020056721448,-0.17214219060500915
peak_WSS_magnitude_Pa,IDW,2,963,0.10731459453762249,0.5499118162661891,0.11199243174611861,-0.17214219060500915
peak_WSS_magnitude_Pa,IDW,3,963,0.16598449944227656,0.41137740219987734,0.11139097643003248,-0.17214219060500915
peak_WSS_magnitude_Pa,IDW,4,963,0.2798163039054736,0.25057538445551636,0.12596663669738797,-0.17214219060500915
peak_WSS_magnitude_Pa,RBF,1,963,0.058934101690112754,1.5841333693686672,0.16113990401569103,-0.1454700761812098
peak_WSS_magnitude_Pa,RBF,2,963,0.10731459453762249,0.627761518282532,0.0647178707733736,-0.1454700761812098
peak_WSS_magnitude_Pa,RBF,3,963,0.16598449944227656,0.5102736155965397,0.05926142419675501,-0.1454700761812098
peak_WSS_magnitude_Pa,RBF,4,963,0.2798163039054736,0.4494286039419802,0.08279779908369886,-0.1454700761812098
VM_cycle_max_Pa,Prior+adapt,1,963,0.058934101690112754,0.3740131560718539,0.24041698274002685,0.14648170646227537
VM_cycle_max_Pa,Prior+adapt,2,963,0.10731459453762249,0.4417293364586183,0.32790798431790663,0.14648170646227537
VM_cycle_max_Pa,Prior+adapt,3,963,0.16598449944227656,0.4904081462893423,0.3548095033080295,0.14648170646227537
VM_cycle_max_Pa,Prior+adapt,4,963,0.2798163039054736,0.5476476680246865,0.41629450194749446,0.14648170646227537
VM_cycle_max_Pa,IDW,1,963,0.058934101690112754,0.26266216402218245,0.1677974818356501,0.15173012131625935
VM_cycle_max_Pa,IDW,2,963,0.10731459453762249,0.3100519840039009,0.19801147168226557,0.15173012131625935
VM_cycle_max_Pa,IDW,3,963,0.16598449944227656,0.33970901073456616,0.21183099572311634,0.15173012131625935
VM_cycle_max_Pa,IDW,4,963,0.2798163039054736,0.4121721444245315,0.2821693170551777,0.15173012131625935
VM_cycle_max_Pa,RBF,1,963,0.058934101690112754,0.17948762181183867,0.10596921100472351,0.24785171301937592
VM_cycle_max_Pa,RBF,2,963,0.10731459453762249,0.23661991562294193,0.14344243838495285,0.24785171301937592
VM_cycle_max_Pa,RBF,3,963,0.16598449944227656,0.2828074892463584,0.17249999732386673,0.24785171301937592
