target,variant,calibration_fraction,n_calibration,n_evaluation,R2,MAE,RMSE,Spearman,Top10_overlap
TAWSS_vector_Pa,zero_shot,0.0,0,4055,-0.15908620805342433,0.6039580361326079,1.4289616200250224,0.1352886333365087,0.03201970443349754
TAWSS_vector_Pa,affine_only,0.05,203,3852,-0.0366506782621161,0.5332155997386155,1.3713483343738584,0.1369070775186967,0.03116883116883117
TAWSS_vector_Pa,local_only,0.05,203,3852,0.23221886126659164,0.42320989341401616,1.1801855280039197,0.6494735022386422,0.6
TAWSS_vector_Pa,full,0.05,203,3852,0.23397216147834976,0.407687685112686,1.17883722567096,0.6708494679050235,0.587012987012987
TAWSS_vector_Pa,full,0.1,406,3649,0.29384447338767905,0.42459657114023086,1.1335704217608265,0.6930041601434483,0.6684931506849315
OSI,zero_shot,0.0,0,4055,-0.3743097043436161,0.10243075024806181,0.1202814610734806,-0.13206058193383094,0.014778325123152709
OSI,affine_only,0.05,203,3852,0.015111859500059555,0.08086257726097318,0.10150627408145468,0.13367977136457224,0.10909090909090909
OSI,local_only,0.05,203,3852,0.5708675272249206,0.047610598524928084,0.06700313484960486,0.7650346102736398,0.6987012987012987
OSI,full,0.05,203,3852,0.6029487801277216,0.043846740224345836,0.0644499671140704,0.8073753934588513,0.6675324675324675
OSI,full,0.1,406,3649,0.6984167472637621,0.036696153905811255,0.05595429523524162,0.8540420437550034,0.673972602739726
RRT_1_per_Pa,zero_shot,0.0,0,4055,-1.6250987295407526e-05,6.84722020323737,280.34190289312926,0.025680964231887538,0.23645320197044334
RRT_1_per_Pa,affine_only,0.05,203,3852,-0.0003083003167061449,6.436307431261769,287.6730269485309,0.02421002618322341,0.23376623376623376
RRT_1_per_Pa,local_only,0.05,203,3852,-0.000460295748056172,5.9986996088047535,287.6948818731295,0.6781951791082027,0.5506493506493506
RRT_1_per_Pa,full,0.05,203,3852,-0.0004717401662539533,5.959429218038227,287.69652736128114,0.7105876992831753,0.5792207792207792
RRT_1_per_Pa,full,0.1,406,3649,-0.0004605918432611933,6.13947522618823,295.5851636974597,0.7514823924107872,0.6
peak_WSS_magnitude_Pa,zero_shot,0.0,0,4055,-0.026632775182483304,2.8399771276862333,6.979434005275367,0.30596108800754984,0.30049261083743845
peak_WSS_magnitude_Pa,affine_only,0.05,203,3852,0.014309430950284585,2.8486808492833524,6.934831142310687,0.3054058228205615,0.2909090909090909
peak_WSS_magnitude_Pa,local_only,0.05,203,3852,0.3032588548398423,2.048163464518545,5.830439848179555,0.7275191583769359,0.6051948051948052
peak_WSS_magnitude_Pa,full,0.05,203,3852,0.302210666843721,2.034979351237952,5.8348239012177805,0.7319930834830494,0.6051948051948052
peak_WSS_magnitude_Pa,full,0.1,406,3649,0.39010300696176736,2.00213148289161,5.460700612022926,0.7417885551048689,0.663013698630137
VM_cycle_max_Pa,zero_shot,0.0,0,4055,-0.09532227749254152,1035.1937707742813,1297.4715517377274,0.18900769529423678,0.2044334975369458
VM_cycle_max_Pa,affine_only,0.05,203,3852,-0.0572128436169177,932.0874542483183,1279.9151427247355,0.18610769967531388,0.2025974025974026
VM_cycle_max_Pa,local_only,0.05,203,3852,0.314297351123624,734.2120515424436,1030.7844908669476,0.5577749149639828,0.4753246753246753
VM_cycle_max_Pa,full,0.05,203,3852,0.3167489879811023,728.6733740564075,1028.9401257217035,0.5689549763840062,0.5064935064935064
VM_cycle_max_Pa,full,0.1,406,3649,0.3718115599131496,684.6413318218938,991.0689568505396,0.6215106001536707,0.4821917808219178
VM_stress_amplitude_Pa,zero_shot,0.0,0,4055,-0.09537848810178984,517.6216497811668,648.7524206453165,0.18914528094407293,0.2044334975369458
VM_stress_amplitude_Pa,affine_only,0.05,203,3852,-0.05723485285226371,466.0417391609092,639.9642315219874,0.18624169389565562,0.2025974025974026
VM_stress_amplitude_Pa,local_only,0.05,203,3852,0.31437287452429785,367.0743386987853,515.363861010578,0.5578660098661834,0.4753246753246753
VM_stress_amplitude_Pa,full,0.05,203,3852,0.3167811264978311,364.3241654410945,514.4579620421353,0.5689974639775767,0.5064935064935064
VM_stress_amplitude_Pa,full,0.1,406,3649,0.37183630997158235,342.30688665742775,495.52471559127036,0.6215427931002823,0.4821917808219178
VM_temporal_mean_Pa,zero_shot,0.0,0,4055,-0.056147708452353395,251.68663844951345,318.28707258007773,0.16608351972462007,0.12807881773399016
VM_temporal_mean_Pa,affine_only,0.05,203,3852,-0.05971139133006775,241.06847560261608,319.7514417996857,0.16334795525961063,0.12987012987012986
VM_temporal_mean_Pa,local_only,0.05,203,3852,0.40298448585620306,172.29014002967304,240.00015296398877,0.6664212396316922,0.4831168831168831
VM_temporal_mean_Pa,full,0.05,203,3852,0.41019025351364913,170.05934002524782,238.54739729993372,0.6727585386110507,0.5064935064935064
VM_temporal_mean_Pa,full,0.1,406,3649,0.45918506839220075,159.03352127978982,228.40567302349893,0.6924709884684469,0.5424657534246575
